gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,act,at,ceq,csho,dltt,dt,ebit,ebitda,icapt,lct,lt,ni,re,sale,xad,costat,prcc_c,mkvalt
1004,20210531,2020,INDL,C,D,STD,AIR,USD,937,1539.7,974.4,35.375,193.6,205.1,65.5,101.8,1168,336.8,565.3,35.8,723.4,1651.4,,A,36.22,1476.9063
1045,20211231,2021,INDL,C,D,STD,AAL,USD,17336,66467,-7340,647.728,42181,46177,-5514,-3179,34841,19006,73807,-1993,-14580,29882,105,A,17.96,11633.1949
1075,20211231,2021,INDL,C,D,STD,PNW,USD,1551.1,22003.222,5906.2,112.927,7642.136,,805.31,1456.185,13663.596,1756.869,15981.762,618.72,3209.858,3803.835,,A,70.59,7971.5169
1078,20211231,2021,INDL,C,D,STD,ABT,USD,24239,75196,35802,1764.082,18252,19251,8966,12504,54276,13105,39172,7071,23154,43075,,A,140.74,248276.9007
1161,20211231,2021,INDL,C,D,STD,AMD,USD,8583,12419,7497,1207,349,732,3678,3974,7846,4240,4922,3162,-1454,16434,578,A,143.9,173687.3
1209,20210930,2021,INDL,C,D,STD,APD,USD,8376.3,26859.2,13539.7,221.397,7653.7,8216.8,2215,3536.3,21741.7,2799.1,12771.2,2099.1,14162.4,10323,,A,304.26,56701.9857
1230,20211231,2021,INDL,C,D,STD,ALK,USD,3920,13951,3801,125.906,3452,4086,-240,154,7253,3991,10150,478,3980,6176,63,A,52.1,6559.7026
1234,20211231,2021,INDL,C,D,STD,ATRI,USD,136.571,267.264,244.296,1.801,,,36.042,48.928,244.296,13.346,,33.055,357.324,165.009,,A,704.9,1269.5249
1254,20211231,2021,INDL,C,D,STD,MATX,USD,704.5,3693.1,1667.4,41,857.1,1059.7,1131.2,1259.2,2524.5,612.4,2025.7,927.4,1322.6,3925.3,,A,90.03,3691.23
1257,20211231,2021,INDL,C,D,STD,ALX,USD,,1391.965,252.589,5.107,1093.215,1093.215,76.197,76.197,1345.804,,1139.376,132.93,214.369,206.148,,A,260.3,1329.3521
1300,20211231,2021,INDL,C,D,STD,HON,USD,25372,64470,18569,684.8,15101,17089,6769,7908,34350,19508,45221,5542,39932,34392,,A,208.51,142787.648
