,Ticker,Name ,RetYTD,ggroup,Industry
0,A,Agilent Technologies ,-0.208,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
1,AA,Alcoa Corp ,0.4731,1510,Materials
2,AAL,American Airlines Gp ,0.0579,2030,Transportation
3,AAN,Aarons Holdings Company ,-0.1327,2550,Retailing
4,AAON,Aaon Inc ,-0.3456,2010,Capital Goods
5,AAP,Advance Auto Parts Inc ,-0.0884,2550,Retailing
6,AAPL,Apple Inc ,-0.0692,4520,Technology Hardware & Equipment
7,AAT,American Assets Trust ,-0.0384,6010,Real Estate
8,AAWW,Atlas Air Ww ,-0.2727,2030,Transportation
9,ABBV,Abbvie Inc ,0.1987,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
10,ABC,Amerisourcebergen Corp ,0.2131,3510,Health Care Equipment & Services
11,ABCB,Ameris Bancorp ,-0.1793,4010,Banks
12,ABG,Asbury Automotive Group Inc ,-0.1104,2550,Retailing
13,ABM,ABM Industries Inc ,0.2069,2020,Commercial  & Professional Services
14,ABM,ABM Industries Inc ,0.2069,2020,Commercial  & Professional Services
15,ABMD,Abiomed Inc ,-0.1478,3510,Health Care Equipment & Services
16,ABR,Arbor Realty Trust ,-0.0431,4020,Diversified Financials
17,ABT,Abbott Laboratories ,-0.1638,3510,Health Care Equipment & Services
18,ABTX,Allegiance Banc CS ,-0.0308,4010,Banks
19,ABUS,Arbutus Biopharma Cp ,-0.2931,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
20,ACAD,Acadia Pharmaceutica ,0.0056,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
21,ACC,American Campus Communities Inc ,0.0115,6010,Real Estate
22,ACCO,Acco Brands Corp ,-0.0702,2020,Commercial  & Professional Services
23,ACCO,Acco Brands Corp ,-0.0702,2020,Commercial  & Professional Services
24,ACGL,Arch Capital Grp Ltd ,0.1019,4030,Insurance
25,ACHC,Acadia Healthcr Company ,0.2359,3510,Health Care Equipment & Services
26,ACIW,Aci Worldwide Inc ,-0.2078,4510,Software & Services
27,ACLS,Axcelis Tech Inc ,-0.2432,4530,Semiconductors & Semiconductor Equipment
28,ACM,Aecom Technology Corp ,-0.0138,2010,Capital Goods
29,ACN,Accenture Plc ,-0.2294,4510,Software & Services
30,ACRE,Ares Commercial Real Estate Cor ,0.121,4020,Diversified Financials
31,ACRS,Aclaris Therapts ,0.1699,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
32,ADBE,Adobe Systems Inc ,-0.2586,4510,Software & Services
33,ADC,Agree Realty Corp ,-0.0196,6010,Real Estate
34,ADI,Analog Devices ,-0.1096,4530,Semiconductors & Semiconductor Equipment
35,ADM,Archer Daniels Midland ,0.4338,3020,"Food, Beverage & Tobacco"
36,ADNT,Adient Plc ,-0.3024,2510,Automobiles & Components
37,ADP,Automatic Data Procs ,-0.0705,4510,Software & Services
38,ADSK,Autodesk Inc ,-0.3004,4510,Software & Services
39,ADTN,Adtran Inc ,-0.2199,4520,Technology Hardware & Equipment
40,ADUS,Addus Homecare Corp ,-0.0433,3510,Health Care Equipment & Services
41,AEE,Ameren Corp ,0.0813,5510,Utilities
42,AEIS,Advanced Energy ,-0.1876,4520,Technology Hardware & Equipment
43,AEL,American Equity Investment Life ,0.0057,4030,Insurance
44,AEO,American Eagle Outfitters ,-0.3088,2550,Retailing
45,AEP,American Electric Power Company ,0.1469,5510,Utilities
46,AERI,Aerie Pharmaceuticals ,0.3048,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
47,AES,The Aes Corp ,0.0045,5510,Utilities
48,AFG,American Financial Group ,0.0681,4030,Insurance
49,AFL,Aflac Inc ,0.1189,4030,Insurance
50,AGCO,Agco Corp ,0.2197,2010,Capital Goods
51,AGEN,Agenus Inc ,-0.2733,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
52,AGIO,Agios Pharmaceuticals ,-0.1512,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
53,AGLE,Aeglea Biothera ,-0.5832,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
54,AGNC,Agnc Investment Corp ,-0.1702,4020,Diversified Financials
55,AGO,Assured Guaranty Ltd ,0.2032,4030,Insurance
56,AGR,Avangrid Inc ,-0.019,5510,Utilities
57,AGX,Argan Inc ,-0.0439,2010,Capital Goods
58,AGYS,Agilysys Inc ,-0.1442,4510,Software & Services
59,AHH,Armada Hoffler Properties Inc ,-0.065,6010,Real Estate
60,AHT,Ashford Hospitality Trust Inc ,-0.1292,6010,Real Estate
61,AIG,American International Group ,0.1085,4030,Insurance
62,AIMC,Altra Indtl Mtn ,-0.3091,2010,Capital Goods
63,AIN,Albany International Corp ,-0.0757,2010,Capital Goods
64,AIR,AAR Corp ,0.2944,2010,Capital Goods
65,AIT,Applied Industrial Technologies ,-0.0465,2010,Capital Goods
66,AIV,Apartment Investment and Management ,-0.1036,6010,Real Estate
67,AIZ,Assurant Inc ,0.2146,4030,Insurance
68,AJG,Arthur J. Gallagher & Company ,0.0645,4030,Insurance
69,AJRD,Aerojet Rocketdyne Holdings ,-0.0768,2010,Capital Goods
70,AKAM,Akamai Technologies ,0.0167,4510,Software & Services
71,AKBA,Akebia Therapeutics ,-0.7611,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
72,AKR,Acadia Realty Trust ,-0.0293,6010,Real Estate
73,AL,Air Lease Corp Cl A ,-0.0206,2010,Capital Goods
74,ALB,Albemarle Corp ,-0.0979,1510,Materials
75,ALBO,Albireo Pharma Inc ,0.5693,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
76,ALDX,Aldeyra Therapeu ,0.14,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
77,ALE,Allete Inc ,-0.0439,5510,Utilities
78,ALEX,Alexander and Baldwin Inc ,-0.1032,6010,Real Estate
79,ALG,Alamo Group ,-0.0704,2010,Capital Goods
80,ALGN,Align Technology ,-0.3764,3510,Health Care Equipment & Services
81,ALGT,Allegiant Travel Com ,-0.1513,2030,Transportation
82,ALK,Alaska Air Group ,0.0962,2030,Transportation
83,ALKS,Alkermes Plc ,0.2623,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
84,ALL,Allstate Corp ,0.1998,4030,Insurance
85,ALLE,Allegion Plc ,-0.1888,2010,Capital Goods
86,ALLY,Ally Financial ,-0.1342,4020,Diversified Financials
87,ALNY,Alnylam Pharmaceuticals ,-0.0132,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
88,ALRM,Alarm.com ,-0.3027,4510,Software & Services
89,ALSN,Allison Transmission Holdings ,-0.0327,2010,Capital Goods
90,ALX,Alexander's Inc ,0.0065,6010,Real Estate
91,AMAT,Applied Materials ,-0.2796,4530,Semiconductors & Semiconductor Equipment
92,AMBA,Ambarella Inc ,-0.5551,4530,Semiconductors & Semiconductor Equipment
93,AMBC,Ambac Financial Group ,-0.448,4030,Insurance
94,AMC,AMC Entertainment Holdings Inc ,-0.3375,5020,
95,AMCX,AMC Networks Cl A ,0.1048,5020,
96,AMD,Adv Micro Devices ,-0.3533,4530,Semiconductors & Semiconductor Equipment
