id,device,country,Age group,Gender,Highest degree,Frequency,title,engagementTime
0.044124662,Desktop,us,55 ~ 64 years old,Female,Bachelor,At least once a week,A,26374
0.43052179,Desktop,in,25 ~ 34 years old,Male,Bachelor,At least once a month,B,8326
0.530684527,Desktop,in,35 ~ 44 years old,Female,Bachelor,At least once a day,C,15180
0.548908299,Desktop,us,35 ~ 44 years old,Male,Bachelor,At least once a week,C,16591
0.686664348,Desktop,us,25 ~ 34 years old,Male,Bachelor,At least once a day,C,8753
0.869413847,Desktop,us,45 ~ 54 years old,Female,Bachelor,At least once a week,D,11500
0.311090119,Desktop,us,18 ~ 24 years old,Female,Bachelor,At least once a week,B,18468
0.316635638,Desktop,us,18 ~ 24 years old,Female,Bachelor,At least once a month,B,80656
0.474168211,Desktop,us,35 ~ 44 years old,Female,Master,At least once a month,B,54219
0.558243797,Desktop,us,35 ~ 44 years old,Female,Bachelor,At least once a month,C,14154
0.810484615,Desktop,us,35 ~ 44 years old,Male,Master,At least once a day,D,48606
0.819865027,Desktop,us,35 ~ 44 years old,Female,Master,At least once a week,D,32783
0.947478997,Desktop,us,35 ~ 44 years old,Male,Bachelor,At least once a week,D,13200
0.967847541,Desktop,us,25 ~ 34 years old,Female,High school graduate,At least once a month,D,1166
0.009172077,Desktop,us,45 ~ 54 years old,Male,Bachelor,At least once a day,A,20002
0.010018099,Desktop,us,18 ~ 24 years old,Male,Bachelor,At least once a month,A,4152
0.014127588,Desktop,us,45 ~ 54 years old,Female,Bachelor,At least once a week,A,11688
0.017684537,Desktop,us,18 ~ 24 years old,Male,Bachelor,At least once a month,A,8260
0.023298146,Desktop,us,45 ~ 54 years old,Female,Bachelor,At least once a week,A,9419
0.045717604,Desktop,us,25 ~ 34 years old,Female,Master,At least once a week,A,11020
0.052163228,Phone,us,25 ~ 34 years old,Female,Bachelor,At least once a month,A,10000
0.069715764,Desktop,us,25 ~ 34 years old,Female,Bachelor,At least once a month,A,14241
0.070856255,Desktop,us,35 ~ 44 years old,Female,Master,At least once a week,A,20774
0.082148978,Desktop,us,25 ~ 34 years old,Female,Bachelor,At least once a week,A,18892
0.099170448,Desktop,us,18 ~ 24 years old,Male,Bachelor,At least once a week,A,8251
0.099764586,Desktop,us,25 ~ 34 years old,Male,Master,At least once a week,A,20502
0.105009356,Desktop,us,45 ~ 54 years old,Female,Bachelor,At least once a month,A,6553
0.116324839,Desktop,us,35 ~ 44 years old,Female,Bachelor,At least once a month,A,7319
0.118775179,Desktop,us,18 ~ 24 years old,Female,Bachelor,At least once a month,A,72375
0.124000981,Desktop,in,35 ~ 44 years old,Male,Bachelor,At least once a week,A,1917
0.125315075,Desktop,us,45 ~ 54 years old,Female,Bachelor,At least once a month,A,34590
0.132729001,Desktop,us,18 ~ 24 years old,Female,Bachelor,At least once a week,A,55103
0.139370941,Desktop,us,25 ~ 34 years old,Male,Bachelor,At least once a week,A,5250
0.145591943,Desktop,in,25 ~ 34 years old,Female,Master,At least once a week,A,30000
0.155385494,Desktop,us,25 ~ 34 years old,Female,Master,At least once a week,A,5972
0.160717671,Desktop,us,25 ~ 34 years old,Female,Bachelor,At least once a day,A,26476
0.163107989,Desktop,us,45 ~ 54 years old,Female,Bachelor,At least once a day,A,16429
0.166601265,Phone,us,18 ~ 24 years old,Female,Bachelor,At least once a day,A,7534
0.16833506,Desktop,us,35 ~ 44 years old,Female,Bachelor,At least once a day,A,3251
0.175589902,Desktop,us,25 ~ 34 years old,Male,Bachelor,At least once a week,A,104698
0.187343143,Phone,us,25 ~ 34 years old,Female,PHD,At least once a week,A,10001
0.197984652,Desktop,us,45 ~ 54 years old,Female,Master,At least once a month,A,51566
0.200921754,Desktop,us,18 ~ 24 years old,Female,Bachelor,At least once a month,A,4686
0.204473832,Desktop,us,25 ~ 34 years old,Male,Bachelor,At least once a week,A,10889
0.21292304,Desktop,us,35 ~ 44 years old,Male,Bachelor,At least once a month,A,9767
0.218701849,Desktop,us,18 ~ 24 years old,Female,Master,At least once a month,A,10262
0.228223496,Desktop,in,25 ~ 34 years old,Male,Master,At least once a month,A,22335
0.229997802,Desktop,us,35 ~ 44 years old,Male,Bachelor,At least once a week,A,39177
0.231223159,Desktop,us,35 ~ 44 years old,Female,Bachelor,At least once a week,A,2633
0.231852969,Desktop,us,35 ~ 44 years old,Male,Professional degree,At least once a week,A,4592
